datetime,value
2018-12-05 15:00:00+01:00,32090.486096300214
2018-12-05 16:00:00+01:00,31845.14678212734
2018-12-05 17:00:00+01:00,32243.682131584017
2018-12-05 18:00:00+01:00,33870.986489528426
2018-12-05 19:00:00+01:00,34115.58388105287
2018-12-05 20:00:00+01:00,34166.12102490013
2018-12-05 21:00:00+01:00,33452.546536906935
2018-12-05 22:00:00+01:00,31306.015541930297
2018-12-05 23:00:00+01:00,28820.898562524984
2018-12-06 00:00:00+01:00,27171.881663753666
2018-12-06 01:00:00+01:00,25298.070408117703
2018-12-06 02:00:00+01:00,23819.49406630145
2018-12-06 03:00:00+01:00,23019.66646597765
2018-12-06 04:00:00+01:00,22760.66987028858
2018-12-06 05:00:00+01:00,22657.629796040503
2018-12-06 06:00:00+01:00,23163.491200665834
2018-12-06 07:00:00+01:00,24410.558710457673
2018-12-06 08:00:00+01:00,25285.046238314222
2018-12-06 09:00:00+01:00,26990.720532878706
2018-12-06 10:00:00+01:00,28430.288992301692
2018-12-06 11:00:00+01:00,28734.0444134712
2018-12-06 12:00:00+01:00,28474.402507233895
2018-12-06 13:00:00+01:00,28595.610653433047
2018-12-06 14:00:00+01:00,28299.223796830047
2018-12-06 15:00:00+01:00,27038.944882090746
2018-12-06 16:00:00+01:00,26263.804969995337
2018-12-06 17:00:00+01:00,26513.02836294556
2018-12-06 18:00:00+01:00,28714.659250026012
2018-12-06 19:00:00+01:00,29603.608190712843
2018-12-06 20:00:00+01:00,30177.318662086353
2018-12-06 21:00:00+01:00,30207.9136327681
2018-12-06 22:00:00+01:00,29346.380511928455
2018-12-06 23:00:00+01:00,27343.37443435188
2018-12-07 00:00:00+01:00,25224.78355274297
2018-12-07 01:00:00+01:00,23447.571337938098
2018-12-07 02:00:00+01:00,22326.268088884823
2018-12-07 03:00:00+01:00,21654.546824010187
2018-12-07 04:00:00+01:00,21615.931577173815
2018-12-07 05:00:00+01:00,21996.016589092327
2018-12-07 06:00:00+01:00,23648.644964486302
